DRN8	DRN0	PRN8	PRN0	DTU	PTU
LOC100134468	UNC84B	LOC100128916	LOC651403	KRTAP19-3	NFKBID
LOC100130019	LOC728591	LOC641983	ZW10	CLEC3A	C6orf153
LOC644827	VARS	LOC644350	ACTL6B	LOC644577	C9orf37
LOC100129060	LOC100132888	TLR8	PLEK	LOC100134359	CBLC
LOC653820	PIK4CA	TNFAIP8L2	FLJ44216	LOC100133053	MOBP
GPATCH4	SLC22A18	LOC100134372	TMEM199	ITGA7	DKFZp686J0529
ODF3L1	PNMA1	LOC100132553	CDK5RAP2	SNORA75	ROCK1
AP3S1	LOC728607	LOC647579	KCTD21	LOC652771	MAP3K6
OLFM1	SLC35F5	PRIMA1	PREP	LOC644952	FRG1
LOC647370	LOC651465	LOC646562	LOC646103	LOC728683	C7orf60
GAPT	PRRT3	SCP2	MIR601	C4orf19	MKRN3
IL19	C12orf54	TMEM11	DENND1A	LOC729993	APTX
BMP2KL	LAG3	LOC647138	RSPH3	GNAT1	KIF21A
HIST1H4B	KCTD10	H2AFV	COPB2	5-Mar	RPS6KA3
ERCC-00069	LOC645040	TTC30A	LOC732146	LOC652499	LOC730392
HK3	TRIM11	FA2H	ANKRD30A	ANK2	LOC100131518
LOC730007	CCDC102A	C18orf56	SUMF1	TJP1	LOC572558
KIAA1409	IKBKG	IGFL3	CTNNBIP1	HTT	BEND4
MOBKL2B	SCARNA27	LOC100130581	LOC647444	LOC100130652	MAPKAPK5
LOC729273	LOC644554	LOC645676	CCDC71	FGF10	RNF187
RLN1	LOC730015	BAIAP2	LSM12	LOC654191	GLOD4
RAB38	CCDC26	LAMB4	SLMO1	LOC100128430	LOC731017
NDRG4	C1orf222	LOC730087	MIR583	GLB1L3	GFPT1
PLEKHG4	IGFBP2	LOC652837	LOC440459	HEPH	SYT10
TNFRSF17	AASS	LOC648237	LOC645700	TNFAIP8L2	PTPN11
LOC388444	LOC100128270	CHRNA7	GLIPR1L2	BMS1	LOC645351
LOC344741	MIR181A1	HOXC5	UVRAG	QRFP	LOC100129743
CYP11B2	FARS2	LOC653135	CDCP1	LOC729010	PIGS
PANK4	FUT11	LOC100130230	LOC731186	LOC653326	NFX1
PCOLCE2	BOP1	ABCC6P1	LOC648174	TM7SF4	LOC100130417
HAND1	CDH23	LOC646127	LOC644715	LOC729252	SNORD52
C8orf77	METTL7B	LOC100133445	LOC646208	ANKRD31	LOC643814
OR51E1	LOC100133545	SCRT1	HSPB2	RAD54B	FLJ16165
MAGEB5	YLPM1	DEFB134	LOC643837	LOC388242	S100B
LOC647333	LIME1	BCL2L11	LOC401480	IL18	LOC100129334
LLGL1	PABPC1L2B	LOC642268	LOC642538	LOC441682	KLHL31
C6orf118	LOC100128090	YBX2	NR1H3	LOC100128728	LOC647891
LOC648876	CRYGB	MIR202	C21orf136	LOC728163	NY-REN-7
NEGR1	C12orf37	LOC729451	MORC1	LOC641929	LOC643854
NBPF9	KIAA1324L	ELAVL3	DDX28	NEFM	TAF7
LOC387870	LOC100133896	MIR376C	LOC649583	C1orf147	TMEM18
LOC642939	ZHX3	LOC646700	DPH2	SDC1	C2orf30
LOC441752	C10orf61	XKR7	LOC201651	LOC653110	LOC645355
FLJ42102	C10orf112	RMND5B	AZI1	LOC729467	C1orf113
HEXA	CRELD1	PSD	LOC648526	DSCR1L1	LOC100128405
LOC100134387	DOCK2	SLC20A2	LOC100131554	LOC646982	TOP2B
LOC644366	LOC646096	LOC653136	ABHD8	C22orf30	PRCD
OR5J2	SLC20A2	GLI1	DLEU2	LOC100133421	LOC648040
QRFP	BTBD2	LOC100130716	LOC645600	LOC643187	LOC100129527
LOC151760	PNKP	KIR3DL3	TMED8	SNORD52	LOC100128300
CARD8	LOC653071	SELP	LOC728802	SUCNR1	HAT1
ANKRD20A1	LOC100130919	LOC646023	USP24	LOC650836	LENG1
GCNT7	HTR2B	LOC649823	BRPF3	LOC100133479	LOC732377
CLIC6	STAG3L3	ROBO3	TIMM17B	LOC652541	SLTM
LOC646550	OBP2A	LOC100093631	KRTAP4-7	LOC645882	VAV3
TUFM	MMS19	FOXP2	FAM149A	FBP2	PRPF38B
LOC647262	LOC650167	LOC644524	LOC647190	LILRB5	C6orf111
ITGB1BP3	LOC646226	LRRC37A4	RAB13	KRTAP2-2	FOXH1
LOC388079	LOC648527	THAP8	LOC645781	LOC653333	LOC440335
KIAA1524	LOC642773	LOC642965	CAPN11	LOC100132839	MIR568
ATMIN	FBXL13	LOC642570	WHAMM	LOC100129306	TIMM17A
PAPLN	LOC653110	LOC100133120	EXOC7	LOC401875	MDC1
LOC729534	PPP2R4	LOC641982	DYNC1LI1	TM9SF4	PODXL
GLCCI1	BCS1L	LOC401915	ZNF238	LOC641788	C5orf27
FOLH1B	ARHGAP4	SYT5	TMEM189-UBE2V1	ZNF619	LOC647480
EFCAB3	NDST2	ZNF140	DDIT3	ASZ1	SPO11
OR8U8	KCNK4	FAM83C	LOC651729	LOC653086	LOC647726
RGAG4	IL21R	LOC642130	TMPRSS2	MDM1	LOC100133517
LOC100129359	NSUN5	STARD4	MGC26718	MIR603	UBXD7
LOC731542	SKIV2L	VSIG4	LOC729891	COX7A1	MIR197
RNF115	CYFIP1	ZNF10	LOC649823	C12orf69	LOC642362
GPR78	JUP	SPACA4	C17orf64	LOC100134167	LOC731496
LOC728671	DKFZP564J102	PRLH	LOC642622	SSX4	TM9SF3
SLC12A8	LOC100134395	DIO3OS	ZNF837	ERCC-00095	CYP2R1
LOC388630	LOC650241	FLJ13224	DDX41	NPBWR1	OTOR
C21orf87	CA12	LOC100134383	MOBKL2C	LOC648039	LOC642903
OVOL2	LOC388630	SECTM1	GHRHR	C2orf88	FRAS1
DKFZp761E198	COPS7B	AADACL4	POLR3H	LOC650659	ABCA6
PRKAR2A	TRAPPC9	MTR	SNORA36C	SDHA	OSBPL6
CYP2B7P1	SNRNP35	LOC642714	FAM71E1	FLJ37786	LOC253573
LOC647264	FAM10A6	NUDT6	SNAPIN	LOC100131836	LOC649768
KCNA1	PLA2G4B	TAS2R30	TBCEL	LOC643684	LOC100129359
GUCA1C	NOXA1	SDK2	TSPAN14	LOC440105	LOC649546
DDX20	FLJ41941	FAM153C	GDPD4	HOXB13	COL16A1
MAGEA3	COMP	ALG14	MCTP1	SETDB1	SMARCAD1
TNFRSF11B	C16orf58	ANG	LOC645183	LOC641522	STAT4
DMPK	GABRR1	C20orf107	OR13A1	LOC644748	LOC100134292
MIR301A	EBF4	PKP2	KCNA10	FKTN	CCDC123
LOC100128090	KIAA1310	JPH1	KRTAP19-6	SNORD8	LOC645302
C21orf88	ZC3H3	LOC441228	ATG16L1	HNRPM	ITGA6
LOC100133739	PRAMEF17	LOC651612	CHGB	FEV	OR2F2
LOC146481	DCTN1	KRT84	PSD	LOC645151	LOC649587
LOC643648	LOC285346	TBC1D3G	YPEL4	CLPTM1L	XKRY
LOC100134598	LUC7L	MKS1	LYRM5	STAG3L2	LOC100133446
SCARNA11	DPAGT1	IL3RA	KIF1C	MYBPC2	LOC646139
ADAMTS9	MYL1	KIRREL	LOC646562	LOC644246	MGC45800
GSTTP1	POLDIP2	BDKRB1	LOC649917	LOC389024	BOAT
SNORA52	C8orf15	LOC645565	LOC644631	HNRNPM	LOC100131496
COX11	MIR30D	LOC441771	PAX9	LOC727914	PCMT1
BECN1L1	SALL3	SFXN2	TMEM165	LOC644491	UTP6
NPEPPS	OR10R2	MYL2	HTR6	NSUN2	ZSCAN1
LOC100129942	PCDHB18	KIAA0802	EPPK1	LOC285095	SLC35B4
LOC100133418	WNK4	NEGR1	PCNXL2	KRTAP9-3	MIB1
SLC13A4	CTBS	NFKBIL2	CD177	ERCC3	HIST4H4
LOC100133002	PRSS12	MAGEA2	BCAS2	MIR1909	FLJ20297
HDLBP	MZF1	PSMB4	PCGF1	LACRT	RB1CC1
LRCH2	PILRB	LRRN4CL	LRRC41	LRTOMT	LOC391358
LOC653515	DAGLB	LOC644637	MCF2	CECR1	RAB7L1
LMOD2	NMUR1	LOC653652	SUPT4H1	LOC645835	LOC644373
LOC100132973	LOC100131810	ANGPTL2	CARTPT	LOC642859	ARC
BTLA	PCYT2	LOC653464	LOC100132395	LOC100134468	RASL10A
MYH16	LOC644732	LOC643002	FOXM1	C6orf58	LOC648600
FLJ46109	ZBTB45	PPAP2B	TAOK2	ZFP64	ADCY8
LOC100130795	SCUBE3	LOC729722	MAPK15	LOC391013	NUP54
SH3MD4	SNORA41	LOC642188	LOC100131606	LOC152663	PSMA7
KRTAP20-2	ASPSCR1	C7orf51	LOC100129410	RDH8	LOC653421
ZFP30	LOC100129882	LOC650568	NACC2	LOC642918	ACER1
VGLL4	WDR87	FLJ46347	TIFA	LOC339524	CALY
ACLY	LOC391746	LOC100133905	LOC100131982	LOC643590	ZNF184
NEK10	ACTA1	LOC727825	VCAM1	C11orf92	BEND3
LOC646057	KIAA0194	LOC651974	LYG1	LOC730909	ECHDC1
MGC15885	CYLD	RGPD6	ACY1	CPA4	LOC100133994
LOC644537	LOC641804	CD3EAP	LOC283267	HYOU1	PWP1
LRRC34	UBQLN4	LOC147646	CAMK1G	LOC100132804	LOC649722
FAM133A	LOC442270	NCRNA00152	HSPC159	FIGN	FMO6P
PERP	NAT12	LOC400163	B3GAT1	ADAMTSL2	ENTPD3
PHF16	IQCJ	NNAT	SCAMP4	CXorf52	LOC727764
LOC100133732	D2HGDH	LOC644876	ZDHHC24	C17orf82	LOC643884
LOC727847	LOC728969	TRAM1L1	PCDHA1	SPTLC2	SLC35F5
LOC729830	DUS3L	LOC100131225	CHX10	ATP1A2	KRT80
LOC100129386	LOC647836	S100A6	LOC643665	LOC100129531	LOC648415
LOC338756	MCM7	LOC100128904	LOC642859	LOC441868	LOC728450
LOC644059	RIC8A	MAGEB4	KBTBD12	NBPF1	CCDC102B
CALCRL	ZNF142	LPP	LOC284260	LOC645268	CCL15
LOC100134167	EML3	TRAFD1	LOC652656	FTSJ1	PPID
LOC646698	LOC642795	LOC441239	ZNF341	GDF7	LOC729065
VTI1A	LOC641716	TMEM208	LOC728927	LOC100130884	NCOA6IP
LOC651530	OSBPL7	C1QTNF8	TGIF2	NEK6	LOC642772
KRT5	LOC649661	NR1D1	TMEM138	SLC7A11	LOC650103
DNASE1L3	MIR379	KRTAP10-2	LOC643614	LOC100131737	GLCCI1
AQR	TGFB1I1	PQLC2	LOC57399	LOC644193	FAM30A
LOC644652	TRPM4	C17orf58	TMEM16A	LOC440792	LOC644846
LOC728608	LOC731102	CENPL	EFEMP2	DOLPP1	RICH2
LOC653155	KIF21B	ARX	MAP4K4	LOC100133459	LOC100132838
C10orf68	PNMA5	DUOXA1	C19orf69	FLJ45831	ZNF625
KCNQ1DN	CARD11	CLRN3	LOC100134140	AIRE	LOC653297
NAPRT1	CPEB2	LOC652086	MYBPC1	LOC731969	SNORA4
METTL12	PARVG	TGM2	LOC100101266	LOC647046	SBNO1
ZNF533	LOC100132793	GLP1R	NSUN4	LMBRD2	HSPA14
STX4	FBXO31	OR56A1	LOC730411	LOC729941	LOC647060
BPIL3	NEFH	HTR3E	NUPL1	COPZ2	LOC100128416
MMP26	ZNF404	OR2L2	KCNH4	CCDC57	CCT8L2
FOXD2	LOC100130356	SPTLC2	DTNBP1	LOC100134067	TRIP12
MIR548B	SEMA4F	LOC100131982	MYEOV	GRK7	LOC644135
HSP90AB6P	GPR172A	PDIA2	VGLL4	LOC644489	NFYA
OR1J2	LOC730099	APOBEC3C	TRERF1	LOC647079	MIR16-2
CR2	CRY2	FLJ00312	FLJ46552	AKIRIN1	LOC646871
ADCY3	LOC652774	SLC1A7	OR52E5	ZNF639	NFKBIL1
KPTN	TNFRSF14	STRA8	CRYBA1	SETD1A	BZRPL1
LOC100131706	RAB11FIP3	ZNF366	INO80C	LOC150383	MYST1
DST	SPARCL1	MYEOV	LOC728504	LOC647370	DNAJC6
ATP13A2	LYPLA1	LOC100134256	C6orf47	FLNC	SH2D1A
H2AFB2	SLC26A11	LOC647983	LOC731837	LOC100128907	LOC645797
SLC22A18AS	LOC100133908	STARD3	ANKS6	GABPB2	LOC284230
LOC650759	LYSMD1	G6PC	LOC441237	LOC644809	LOC646762
CAPN9	LOC650716	MTRF1L	NFKBIL2	SAFB2	VWA3A
LRRC31	C22orf28	LOC144742	LOC649313	LOC283104	TMEM120B
LOC642558	LOC100128201	GAD1	MRPL46	LOC651296	DLG1
SLC12A3	LOC642819	LOC257396	ELOVL4	LOC401915	LOC402251
LOC653701	PHF7	LOC100134376	LOC731158	C10orf62	EPHA5
LOC645711	ACP6	LOC100130000	LOC100130157	LOC727992	EXOSC3
DPF3	MEP1B	LOC100130312	LOC728032	SERINC2	PCM1
LOC100133629	MIR345	SERPINB1	C22orf36	LOC390407	LOC158730
TEP1	SNAPC4	LOC652659	MS4A15	KIF5C	HAUS8
LOC400954	PFKL	OMD	SPAG17	CTTNBP2	C2orf49
LOC100129461	ZDHHC9	LOC100128988	SEMA4C	ARSJ	NRG3
PIWIL1	MAST2	KRTAP19-5	C1QL2	UGT2A3	CEACAM4
LOC440014	C22orf15	LOC731106	LOC641705	9-Mar	CXCL17
LOC100134269	ARSD	C14orf48	DMGDH	A26C3	YTHDC2
LOC130678	CSTF2	GLB1L2	CT45A1	SFRS1	LOC730861
PYGO1	LOC729684	SOX7	SLC2A1	KLRG2	LOC286094
OR4P4	FAM69B	LOC643980	PHLDB1	HIGD1C	LOC339290
LOC402217	LOC100134475	BATF	NAP1L2	CPLX4	LOC652298
LOC647006	POLR3H	PGBD5	CSTA	RAD23B	SETBP1
LOC648900	GRIK4	NPFFR1	WDFY3	AAMP	HSP90AA1
HOXC8	VPS33B	LOC729157	LOC148137	LOC400590	VEGFA
LOC647028	LOC729204	TP53I13	ELAVL3	FBXL19	LOC100129478
LOC100134329	LOC643899	LOC650851	SFPQ	HNRNPAB	TRPV4
LOC651177	VCY1B	LOC643757	SCN5A	NOMO3	LOC647123
NKAIN3	FOXRED1	KRTAP10-7	ABR	LOC100133639	SLC44A5
LOC642033	TNNI3	CD177	FBXL18	LOC283683	LOC728401
LOC100132442	AP4B1	LOC653696	LOC643752	KLHL4	LOC648196
PSD3	ADAMDEC1	LOC641999	HSD11B1L	C20orf134	STRC
C22orf30	LOC652777	EDNRB	LOC642312	LOC650214	DKFZp686K1684
LOC100133166	MIR1267	LOC440233	FLJ35024	CKAP5	LOC391347
LAMA2	LOC651952	LOC388882	CLIC2	LOC651195	LOC647971
PWWP2	LOC651966	ZNF829	C19orf42	NPPC	LOC644419
OR51I2	LOC100133013	MIR337	DYSFIP1	SHCBP1	WDR45
LOC728931	VEGFB	FAM70A	EFNB2	NCRNA00200	NBPF4
RBMY1J	AARS2	SYN2	WBSCR16	SSX1	PDHX
MIR181C	LOC100130552	METTL9	FAM86B1	LOC732424	IBTK
POLR2J2	C11orf31	LOC100130758	SEMA5A	SNORA11C	LOC100133002
ANKRD6	TCF19	DCLK2	SERINC4	HEXIM1	SENP5
LOC100132802	GAD1	IQUB	FLAD1	LOC100130967	LOC730134
LOC648868	RSPO1	KCND3	SNORD123	LOC651694	LOC647269
BIK	LOC399881	LOC649752	LOC644519	LOC149478	MIR26B
LOC727935	KIFC2	TMEM30B	DMRTA2	LOC100132596	FAM123B
LOC650922	BCORL1	SOST	LOC728763	RCC2	LOC442454
LOC645100	KAT2A	LOC645869	PNPLA6	LOC646818	HN1L
OR10A7	LOC731075	LOC652712	LOC100133419	TNKS2	CLIP1
ERCC-00154	LOC642207	RGPD5	TNS4	LOC642338	LOC100130561
LOC648117	LOC100132752	ZNF541	LOC440125	CDAN1	VSTM2
CXorf56	TIMM10	VAX2	TMEM189	KLF17	LOC100133581
LOC390332	GOT2	FBXW2	BPHL	LOC390084	HSDL1
RXFP2	LOC731835	LOC285423	LOC649203	C19orf54	HTN3
LOC100128252	GTF2H5	TRH	CMTM3	OR5AR1	CDH12
EPPK1	CACNA2D1	LOC651966	AGT	PAXIP1	FAM19A2
LOC100131565	MLLT6	KIR2DL1	PRO0132	SPAG8	GPR173
ELMO2	LOC644201	LOC653275	KCNH3	SC65	ZNF441
P2RY6	LOC650212	C16orf57	SLC12A2	LOC649967	LOC645391
CNTROB	NOD3	LYRM5	TRIM3	C20orf114	ACADM
LOC644957	NUMA1	FLJ90757	BTNL2	LOC727913	FLJ46010
DHX35	PCSK9	IL17C	LOC342933	IFITM5	HINT3
BAIAP2L1	LOC100133600	LOC642946	PLAC9	OR5AS1	MDS1
MYRIP	BRSK2	STEAP2	LOC651450	MFAP1	LOC645434
KRTAP9-3	ARF5	JPH3	LRTM2	NDRG3	LOC100131554
LOC400389	RBM10	TRIM61	DGCR8	ANKRD30B	LOC651829
TMEM171	TMEM120B	SLC9A11	OSR1	FAM38A	FTHL19
BNC1	CAPN1	LOC100134009	LOC646471	DVL3	LOC653264
LOC729960	LOC100128006	LOC100133724	LOC100133034	MIR645	LOC100134624
LOC653562	ACY3	LOC649993	MAP7D3	NRXN2	MED9
LOC728607	KRT6B	SIAE	ZMYND15	OR4N4	LOC147727
LOC729197	ZNF506	KRT75	SEC31B	NEUROD4	MFSD9
VSTM1	LOC641522	HSP90AB4P	SRRM1L	ADAM2	LOC100133284
PCP4L1	CHRNA7	GPRC5A	LOC648066	HNRPH1	MIR335
LUZP5	CHST13	LOC645835	LHX5	LOC647521	IDI1
SAA4	PSMD5	SLC26A3	LOC152195	LOC339742	LOC728326
TFDP3	SNORA67	LOC100133459	NANS	MIR663B	LOC649503
C21orf62	SMYD3	ALDH1L2	LOC100133222	LOC100134099	C19orf38
S100B	LOC652324	LOC145853	LOC100133997	C19orf30	MSTO2P
CALCR	AGAP2	ATP1A2	LOC284352	NFE2L1	PYCARD
DNAJC1	C1orf94	TCP1	KLF10	DAPP1	OR51I2
LOC646653	ZPBP	ARMC6	LOC649346	KLHL38	INTS8
LOC645958	ECT2	NAALADL2	LOC729944	AARS2	PRKAG1
BRSK2	NAT15	CHRNA1	PDXDC1	LOC652688	IGFBP5
JUP	ACO1	PENK	LOC646585	LOC100131696	C20orf179
HOXA7	ZNF777	ZNF649	LOC644294	C21orf55	LOC100132203
DPF2	ZNF440	BCAN	LOC100128562	LOC649362	LOC648226
CCDC121	THPO	LOC100129999	CCDC22	PRODH	MYEOV2
LOC100134540	C10orf12	CAPN5	DISP2	MIR199A1	LOC100133558
KIAA1276	OR1J4	LOC401442	LOC100132913	SNAI2	LOC441016
FMO3	CALM3	MANEAL	PPID	LOC652448	OR9A4
GOLT1A	MAP6	LOC647229	LOC728863	SNORD107	KRTAP4-2
CASP12	TLR9	LOC393078	PAPOLG	DST	LIG4
GTPBP2	GPR31	IQSEC2	CR1L	LOC143666	LOC651905
CHCHD6	CTDSP1	PLEKHH1	P704P	NOLC1	LOC732300
LOC647215	SLC38A9	FN3K	LOC642644	LOC100128655	SSX4
MIR665	AP1M1	VWC2	LOC647370	LOC100128264	MIR216B
HEPH	CYFIP2	CRYBA1	LOC641767	PRKCI	LOC100129580
IL17B	CAPN3	APOC3	HPS6	BHLHB4	NUDT16L1
LOC644014	POGK	DKFZp564N2472	PICK1	PELP1	CRIPT
LOC100128477	TTL	LOC643304	KIR2DS5	EP400	C1orf226
SNORD10	LOC647529	LOC652071	PHB	MIR452	LOC644809
LOC644012	TNFRSF18	ATL3	FLJ44112	HELB	TTC37
C6orf79	GLI4	UBE2J2	SP7	LOC100129538	LOC652599
TTC39A	HOXA1	CAPN6	RRP8	MCM9	N6AMT2
DIRAS2	LOC727950	FOSB	IL17REL	LOC342933	RAP1B
LPPR5	KU-MEL-3	GlyBP	LOC731366	KIAA1310	LOC653113
LOC642384	PCCA	LOC646057	C6orf35	LOC643834	GIMAP7
TFEC	PRAMEF18	C19orf18	RNF187	ARL15	LOC644880
ZCCHC5	IKBKB	LOC653905	LOC100132314	LRRC8D	RPGR
LOC644155	LOC653252	FXYD7	LOC644773	LOC644197	SCARF2
ZNF285A	SHANK2	LOC399829	RP13-360B22.2	GAGE6	SMARCA5
LOC100134098	PHB	TMEM217	AHSG	LOC644124	MIR1185-1
GPT2	MYO9B	LOC100131154	BATF3	LRRFIP2	LOC100134027
LOC732160	FLJ39080	LOC644725	GLIS2	PHACTR4	EIF4E
TATDN2	E2F1	LOC283887	LOC653493	FAM59A	LOC651128
LOC653883	UPLP	FAM86B1	GCOM1	LCE2B	HSPA9
SNORD47	LOC731915	LOC646280	LOC146481	PLK5P	SNORD18C
RNASE9	PDE6H	FAM101A	RNU86	FAM90A20	RNF34
RNF39	CHCHD6	LOC400890	LOC100133053	CA7	IGSF11
OCLM	LOC728951	WDR17	NRAS	CLEC16A	HTR3A
C17orf63	MCOLN2	MIR1237	TTC35	PHRF1	LOC643274
LOC644433	LOC100132807	KIAA1199	LOC645427	LOC728005	C10orf72
MSRB3	CENPB	BCR	C15orf53	LOC646772	PSMC2
EGR4	HNRNPF	CST7	TET2	GDF6	LOC641798
PKD1P1	AMIGO3	CTBS	ELAVL4	MIR331	SMEK2
PRICKLE3	CTXN2	LOC645743	LOC652537	FAM75A5	LOC340900
NUB1	ALDH18A1	LOC730118	LOC389105	TAF10	FLJ42258
WASF3	LOC729372	TRERF1	NAT9	LOC100133568	LEO1
LOC100132779	ABCF1	PRKACG	ZNF777	KLK11	ANTXRL
PAQR9	LOC285095	VPS25	LPP	NPY1R	LOC401730
LOC645951	OSR1	CCDC129	KRTAP10-11	LOC644887	TMEM69
ING5	LOC100133835	LOC650781	OR2D3	SERPINA11	TMEM155
LOC642730	FAM39E	PRO0628	CDC73	LARS	LBX1
KIAA1109	ILVBL	APOL5	PRAMEF5	LOC100131660	ERP27
LOC730086	LOC654164	RBM28	TM9SF3	OR6C6	SNX5
LOC729439	RUNX3	ANKRD40	RND2	MYO15A	MIR125A
LOC100132839	GRIN2D	LOC648274	MKNK1	LOC647678	FAM120AOS
LOC100128889	ZNF214	LRRC37A2	HYI	LOC100128682	ARFGEF2
CP	C1orf162	LOC645032	CTDSP1	B4GALNT1	EDARADD
GPR149	SRP68	PRELID2	LOC648003	DUSP23	THOC1
AGR2	OR5D18	LOC644197	TSGA14	SKI	LOC652797
LOC649878	INTS9	LOC645253	LOC100129931	MCM8	LOC642312
LOC650076	LOC654147	RAB3B	CHST11	LOC650087	OR5B3
PWP2	S1PR2	BSND	ARAP2	TLN2	LOC442442
PHLDB3	DMWD	LOC653707	LOC100132107	TRIM34	FABP4
KIR3DS1	LRRC52	NUDT19	PARP10	PEX14	AGPAT4
JRKL	LOC286456	TAC4	GNG4	LOC653242	LOC100130667
FLJ33996	REXO4	LOC642891	MFAP3	TSPAN16	GNRHR2
MRC2	LOC645012	RNASE8	RNF115	HERV-FRD	LOC100132966
RASSF10	CORO1B	KIAA0738	WDR51A	TAS2R46	ZZZ3
MSR1	SMG5	TARS2	LOC652458	HIST4H4	CHMP5
ZNRF1	EIF3B	RAB12	NCRNA00168	ATP8B3	WWP1
C19orf44	LOC652354	MITF	KIR3DL2	LOC653047	LOC728927
DPAGT1	SYT15	LOC650853	GNAT1	JUN	LOC647928
RGNEF	LOC100128823	RAB2A	LOC652463	KIAA0753	MGEA5
LOC100128905	MAP4K2	SLC25A42	TAS2R16	SFRS14	LOC391427
LOC100128505	ENKUR	KCNK2	PPAP2C	C18orf8	LOC100132441
LOC645545	OLFM1	ZNF511	CCDC127	LOC645682	ZNF587
DKFZP434A062	LOC642372	LOC100132833	ASB10	COMMD9	NARS
FAM174B	PLCXD1	LOC644789	CTGF	C18orf55	LOC646746
FAM169B	LOC339524	LOC400831	STX6	MIR1178	LOC93556
NBEAL1	BTN3A1	LOC649493	KLHL12	ABCF1	LOC651936
LOC646574	CDON	NRN1	LOC649659	LOC650325	ANKRD40
MIR197	SARM1	MAGEE1	LOC100131610	LOC643647	MIR1282
CHRNA1	KCNA6	OR4D1	ZNF672	MIR139	LOC644897
TRAF6	PIGC	RAB32	IRF1	C7orf65	MACC1
LOC645799	BGLAP	RASL11A	LOC645282	MGC4294	RLF
LOC728942	PLSCR3	DSCAML1	OR11A1	RGPD4	LOC654121
LOC728018	LOC284412	LOC642366	LOC390660	LOC100129085	NFYC
LOC643169	DENND2C	MIR367	GRAMD4	LOC652354	LOC642231
LOC286239	WRB	MIR196B	ABCB11	RPL7L1	OR5V1
LOC729704	CDK5RAP3	APOC4	INSL3	WDR67	LOC653623
C14orf23	SIPA1	THAP9	SUV39H1	LOC100128505	ORC3L
OR4F29	BTN3A3	LOC100133086	SLC12A8	LOC643740	LOC402160
LOC100133086	MTG1	LOC647328	FLJ38773	WDR87	BIRC2
LOC729195	MIR483	SKIV2L	RASSF4	LOC646353	PRNPIP
GPR158	ABL2	LOC642101	DDX54	LOC653717	CEP76
LOC643142	C20orf86	ATP9A	VDAC1	PIP4K2C	METTL9
C19orf59	LOC100129391	EFHB	TBXA2R	HYAL4	CEACAM21
MAP7	MTMR7	LOC642515	ARHGAP9	LOC649504	NARG1L
LOC100131949	DDB1	PPOX	AXL	TMCO5A	OR1L1
LOC729090	FLJ45513	FLJ14107	MIR624	CELSR1	ZFYVE20
LOC648596	FLJ32065	C14orf70	TGIF2LY	NFATC2IP	DNAJA2
LOC441395	KCNJ4	OR5AS1	ASXL2	LOC644574	ELOVL6
LOC100132066	GFRA4	PCYOX1L	GHSR	ITGAL	CHRM3
LILRP2	LOC100134265	KCNG2	LOC100132724	SRP54	LOC644717
ARFGEF2	LOC730020	LOC650028	RFC1	RBMY1A3P	LOC100127885
C4orf48	SHC1	LGALS12	LOC100132955	LOC100134387	FLJ13614
LOC100128783	DDX54	LOC644532	MIR2278	LOC100133177	LOC400019
C4orf31	LOC643133	PGM5	F2RL3	FBXL18	IGFL1
MGC71805	KRCC1	PCDP1	WFDC3	CDC42	AVPR2
TNPO2	NDUFV3	PPP4R4	FAM12A	LOC388248	KLF16
COL19A1	NAB2	KRT3	C4orf38	FLJ35220	LOC652078
LOC100133425	PUS1	ERCC-00003	FAM124A	LOC100131702	LOC388882
CST6	PRPF19	HS3ST6	LOC645033	MAP6	SNORD12B
GPR88	PPP2R5D	PRR15	PLCB1	TLX1	EAF1
DGAT2L6	XPNPEP1	ACPL2	LOC646891	MIR297	WDYHV1
SIGLEC15	BMS1	LOC646279	GNPNAT1	ALG10	SLC35C2
LOC100127909	XAGE3	LOC645045	DDI2	LOC642830	LRRC3
MIR205	CES8	HORMAD2	ZSCAN2	TTL	AGL
LOC100133756	SLC1A7	EGR1	FLJ23172	LOC100128647	MALT1
AMELY	MIR2117	ANKS1B	SLC7A5	ERCC-00034	SLU7
LOC100131973	VPS28	TSPO	KIR3DL1	C4A	PPFIA1
LOC100133779	C7orf25	WBP1	C14orf147	SDHALP1	FER
USP28	NAPRT1	LOC647055	SYNGAP1	LOC644092	GPR77
RABGGTA	PRSS2	BPY2C	DNAJC3	LOC643327	ZNF480
GPNMB	TTLL3	MIR146A	SCGN	LBP	C10orf71
AKR1E2	SNORA16B	C1QTNF6	SLC25A28	FUT3	LOC100129033
LOC390364	MGC48628	LOC730517	CXCL17	LOC649452	FAM26C
LOC100128364	WEE1	LOC653820	LOC391429	LOC442442	LOC206227
KRTAP5-2	ERO1LB	LOC100130443	MYBPH	BOLL	LOC100130816
PCDHGA8	CACNG8	KRTHA5	HDHD1A	GALK2	TTC27
LOC652828	HTR3B	ATP6V0D2	FZD2	NAT10	C19orf57
LOC643491	SRCAP	LOC100131244	DPPA3	LOC653905	RPL7
LOC100128666	RPA1	TMX4	ZBTB17	LOC100130411	LOC647481
LOC647810	CLDN1	TRIM59	MAN1A2	LOC653722	UBASH3B
UBE2Q1	PTCHD2	RBED1	FLJ10374	LOC150763	LOC646334
GPR141	MAGED2	CASP5	PIGQ	PCDH8	IL19
